DATE,DNDGRG3M086SBEA
1959-01-01,17.7913333333333333
1959-04-01,17.7966666666666667
1959-07-01,17.8733333333333333
1959-10-01,17.9400000000000000
1960-01-01,17.9146666666666667
1960-04-01,18.0433333333333333
1960-07-01,18.0970000000000000
1960-10-01,18.1983333333333333
1961-01-01,18.2260000000000000
1961-04-01,18.0990000000000000
1961-07-01,18.1326666666666667
1961-10-01,18.0983333333333333
1962-01-01,18.1690000000000000
1962-04-01,18.2166666666666667
1962-07-01,18.2350000000000000
1962-10-01,18.3293333333333333
1963-01-01,18.3563333333333333
1963-04-01,18.3380000000000000
1963-07-01,18.4726666666666667
1963-10-01,18.5103333333333333
1964-01-01,18.6210000000000000
1964-04-01,18.6173333333333333
1964-07-01,18.6733333333333333
1964-10-01,18.7493333333333333
1965-01-01,18.8060000000000000
1965-04-01,18.9840000000000000
1965-07-01,19.0880000000000000
1965-10-01,19.1313333333333333
1966-01-01,19.3876666666666667
1966-04-01,19.5516666666666667
1966-07-01,19.6890000000000000
1966-10-01,19.8123333333333333
1967-01-01,19.8070000000000000
1967-04-01,19.8380000000000000
1967-07-01,20.0466666666666667
1967-10-01,20.1810000000000000
1968-01-01,20.3900000000000000
1968-04-01,20.5833333333333333
1968-07-01,20.7806666666666667
1968-10-01,20.9973333333333333
1969-01-01,21.1540000000000000
1969-04-01,21.4490000000000000
1969-07-01,21.7486666666666667
1969-10-01,21.9793333333333333
1970-01-01,22.2630000000000000
1970-04-01,22.4816666666666667
1970-07-01,22.6336666666666667
1970-10-01,22.8346666666666667
1971-01-01,22.8723333333333333
1971-04-01,23.1110000000000000
1971-07-01,23.3130000000000000
1971-10-01,23.4620000000000000
1972-01-01,23.7176666666666667
1972-04-01,23.7733333333333333
1972-07-01,23.9833333333333333
1972-10-01,24.2593333333333333
1973-01-01,24.7773333333333333
1973-04-01,25.5240000000000000
1973-07-01,26.1730000000000000
1973-10-01,26.9773333333333333
1974-01-01,28.3686666666666667
1974-04-01,29.4053333333333333
1974-07-01,30.2336666666666667
1974-10-01,31.0910000000000000
1975-01-01,31.5340000000000000
1975-04-01,31.6473333333333333
1975-07-01,32.3526666666666667
1975-10-01,32.7683333333333333
1976-01-01,32.8096666666666667
1976-04-01,32.8076666666666667
1976-07-01,33.2156666666666667
1976-10-01,33.6466666666666667
1977-01-01,34.2623333333333333
1977-04-01,34.8903333333333333
1977-07-01,35.2530000000000000
1977-10-01,35.6653333333333333
1978-01-01,36.1403333333333333
1978-04-01,37.0080000000000000
1978-07-01,37.6166666666666667
1978-10-01,38.2596666666666667
1979-01-01,39.3276666666666667
1979-04-01,40.6616666666666667
1979-07-01,41.9793333333333333
1979-10-01,43.1166666666666667
1980-01-01,44.7756666666666667
1980-04-01,45.8693333333333333
1980-07-01,46.8413333333333333
1980-10-01,47.8540000000000000
1981-01-01,49.2683333333333333
1981-04-01,49.7570000000000000
1981-07-01,50.1486666666666667
1981-10-01,50.4793333333333333
1982-01-01,50.7140000000000000
1982-04-01,50.7106666666666667
1982-07-01,51.3653333333333333
1982-10-01,51.3940000000000000
1983-01-01,51.2510000000000000
1983-04-01,51.8926666666666667
1983-07-01,52.2843333333333333
1983-10-01,52.2600000000000000
1984-01-01,52.8686666666666667
1984-04-01,52.9016666666666667
1984-07-01,53.0213333333333333
1984-10-01,53.2136666666666667
1985-01-01,53.5853333333333333
1985-04-01,53.9146666666666667
1985-07-01,54.0233333333333333
1985-10-01,54.4496666666666667
1986-01-01,54.1760000000000000
1986-04-01,52.8836666666666667
1986-07-01,53.0203333333333333
1986-10-01,53.1360000000000000
1987-01-01,54.3206666666666667
1987-04-01,54.9180000000000000
1987-07-01,55.4406666666666667
1987-10-01,55.7873333333333333
1988-01-01,55.9683333333333333
1988-04-01,56.5310000000000000
1988-07-01,57.2780000000000000
1988-10-01,57.6986666666666667
1989-01-01,58.4886666666666667
1989-04-01,60.0316666666666667
1989-07-01,59.9803333333333333
1989-10-01,60.2593333333333333
1990-01-01,61.7826666666666667
1990-04-01,62.1360000000000000
1990-07-01,63.4416666666666667
1990-10-01,65.0856666666666667
1991-01-01,64.7626666666666667
1991-04-01,64.8696666666666667
1991-07-01,64.9286666666666667
1991-10-01,65.2563333333333333
1992-01-01,65.3696666666666667
1992-04-01,65.6950000000000000
1992-07-01,66.1683333333333333
1992-10-01,66.3596666666666667
1993-01-01,66.5576666666666667
1993-04-01,66.4723333333333333
1993-07-01,66.1970000000000000
1993-10-01,66.5076666666666667
1994-01-01,66.3190000000000000
1994-04-01,66.4626666666666667
1994-07-01,67.1503333333333333
1994-10-01,67.2200000000000000
1995-01-01,67.1990000000000000
1995-04-01,67.4493333333333333
1995-07-01,67.5940000000000000
1995-10-01,67.7003333333333333
1996-01-01,68.3686666666666667
1996-04-01,69.0836666666666667
1996-07-01,68.9810000000000000
1996-10-01,69.6216666666666667
1997-01-01,69.8980000000000000
1997-04-01,69.6856666666666667
1997-07-01,69.6413333333333333
1997-10-01,69.7153333333333333
1998-01-01,69.1586666666666667
1998-04-01,69.0216666666666667
1998-07-01,69.3003333333333333
1998-10-01,69.4100000000000000
1999-01-01,69.6463333333333333
1999-04-01,70.6546666666666667
1999-07-01,71.4133333333333333
1999-10-01,72.0583333333333333
2000-01-01,73.1606666666666667
2000-04-01,73.7986666666666667
2000-07-01,74.3800000000000000
2000-10-01,74.6193333333333333
2001-01-01,74.8170000000000000
2001-04-01,75.3260000000000000
2001-07-01,75.0150000000000000
2001-10-01,73.9450000000000000
2002-01-01,73.8126666666666667
2002-04-01,74.8760000000000000
2002-07-01,75.0853333333333333
2002-10-01,75.3503333333333333
2003-01-01,76.6096666666666667
2003-04-01,75.4260000000000000
2003-07-01,76.4706666666666667
2003-10-01,76.8006666666666667
2004-01-01,77.8440000000000000
2004-04-01,78.5796666666666667
2004-07-01,79.0296666666666667
2004-10-01,80.4276666666666667
2005-01-01,80.2953333333333333
2005-04-01,80.8250000000000000
2005-07-01,83.3146666666666667
2005-10-01,83.5550000000000000
2006-01-01,83.6426666666666667
2006-04-01,84.8640000000000000
2006-07-01,85.8430000000000000
2006-10-01,83.8613333333333333
2007-01-01,85.0276666666666667
2007-04-01,86.6906666666666667
2007-07-01,87.2993333333333333
2007-10-01,89.1470000000000000
2008-01-01,90.6613333333333333
2008-04-01,92.6493333333333333
2008-07-01,95.0926666666666667
2008-10-01,89.2146666666666667
2009-01-01,87.1226666666666667
2009-04-01,88.6506666666666667
2009-07-01,90.5826666666666667
2009-10-01,91.5110000000000000
2010-01-01,91.9366666666666667
2010-04-01,91.5283333333333333
2010-07-01,91.8110000000000000
2010-10-01,93.4523333333333333
2011-01-01,95.5780000000000000
2011-04-01,97.8076666666666667
2011-07-01,98.3623333333333333
2011-10-01,98.8620000000000000
2012-01-01,99.8220000000000000
2012-04-01,99.6243333333333333
2012-07-01,99.8693333333333333
2012-10-01,100.6843333333333333
2013-01-01,100.6426666666666667
2013-04-01,99.6010000000000000
2013-07-01,100.0350000000000000
2013-10-01,100.0486666666666667
2014-01-01,100.6253333333333333
2014-04-01,101.1120000000000000
2014-07-01,101.0416666666666667
2014-10-01,99.6026666666666667
2015-01-01,96.8210000000000000
2015-04-01,97.5726666666666667
2015-07-01,97.5596666666666667
2015-10-01,96.3630000000000000
2016-01-01,95.0830000000000000
2016-04-01,95.8170000000000000
2016-07-01,95.9226666666666667
2016-10-01,96.6456666666666667
2017-01-01,97.4376666666666667
2017-04-01,96.7963333333333333
2017-07-01,97.3476666666666667
2017-10-01,98.1643333333333333
2018-01-01,99.1153333333333333
2018-04-01,99.4533333333333333
2018-07-01,99.4406666666666667
2018-10-01,99.1940000000000000
2019-01-01,98.6033333333333333
2019-04-01,.
